,director_name,duration,gross,genres,movie_title,title_year,country,budget,imdb_score,movie_facebook_likes,actor1,actor2,actor3,GOB
0,Martin Scorsese,240.0,116866727.0,Biography|Comedy|Crime|Drama,The Wolf of Wall Street,2013,USA,100000000.0,8.2,138000,Leonardo DiCaprio,Matthew McConaughey,Jon Favreau,1.16866727
1,Shane Black,195.0,408992272.0,Action|Adventure|Sci-Fi,Iron Man 3,2013,USA,200000000.0,7.2,95000,Robert Downey Jr.,Jon Favreau,Don Cheadle,2.04496136
2,Quentin Tarantino,187.0,54116191.0,Crime|Drama|Mystery|Thriller|Western,The Hateful Eight,2015,USA,44000000.0,7.9,114000,Craig Stark,Jennifer Jason Leigh,Zoë Bell,1.229913431818182
3,Kenneth Lonergan,186.0,46495.0,Drama,Margaret,2011,USA,14000000.0,6.5,0,Matt Damon,Kieran Culkin,John Gallagher Jr.,0.0033210714285714284
4,Peter Jackson,186.0,258355354.0,Adventure|Fantasy,The Hobbit: The Desolation of Smaug,2013,USA,225000000.0,7.9,83000,Aidan Turner,Adam Brown,James Nesbitt,1.1482460177777778
5,,183.0,330249062.0,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice,0,USA,250000000.0,6.9,197000,Henry Cavill,Lauren Cohan,Alan D. Purwin,1.320996248
6,Peter Jackson,0.0,303001229.0,Adventure|Fantasy,The Hobbit: An Unexpected Journey,2012,USA,180000000.0,7.9,166000,Aidan Turner,Adam Brown,James Nesbitt,1.6833401611111112
7,Edward Hall,180.0,0.0,Drama|Romance,Restless,2012,UK,0.0,7.2,434,Rufus Sewell,Hayley Atwell,Charlotte Rampling,0.0
8,Joss Whedon,173.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers,2012,USA,220000000.0,8.1,123000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2.83308885
9,Joss Whedon,173.0,623279547.0,Action|Adventure|Sci-Fi,The Avengers,2012,USA,220000000.0,8.1,123000,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2.83308885
10,Tom Tykwer,172.0,27098580.0,Drama|Sci-Fi,Cloud Atlas,2012,GERMANY,102000000.0,0.0,124000,Tom Hanks,Jim Sturgess,Jim Broadbent,0.26567235294117647
11,,158.0,102515793.0,Crime|Drama|Mystery|Thriller,The Girl with the Dragon Tattoo,2011,USA,90000000.0,7.8,54000,Robin Wright,Goran Visnjic,Joely Richardson,1.1390643666666667
12,Christopher Spencer,170.0,59696176.0,,Son of God,2014,USA,22000000.0,5.6,15000,Roma Downey,Amber Rose Revah,Darwin Shaw,2.7134625454545453
13,Christopher Nolan,169.0,187991439.0,Adventure|Drama|Sci-Fi,Interstellar,2014,USA,165000000.0,8.6,349000,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,1.1393420545454545
14,F. Gary Gray,167.0,161029270.0,Biography|Crime|Drama|History|Music,Straight Outta Compton,2015,USA,28000000.0,7.9,76000,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor,5.751045357142857
15,Richard Linklater,165.0,25359200.0,Drama,Boyhood,2014,USA,4000000.0,8.0,92000,Ellar Coltrane,Lorelei Linklater,Libby Villari,6.3398
16,Quentin Tarantino,0.0,162804648.0,Drama|Western,Django Unchained,2012,USA,100000000.0,8.5,199000,Leonardo DiCaprio,Christoph Waltz,Ato Essandoh,1.62804648
17,Michael Bay,165.0,245428137.0,Action|Adventure|Sci-Fi,Transformers: Age of Extinction,2014,USA,210000000.0,5.7,56000,Bingbing Li,Sophia Myles,Kelsey Grammer,1.1687054142857143
18,Christopher Nolan,164.0,448130642.0,Action|Thriller,The Dark Knight Rises,2012,USA,250000000.0,8.5,164000,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,1.792522568
19,Peter Jackson,164.0,255108370.0,Adventure|Fantasy,The Hobbit: The Battle of the Five Armies,2014,NEW ZEALAND,250000000.0,7.5,65000,Aidan Turner,Adam Brown,James Nesbitt,1.02043348
20,Tom Hooper,158.0,148775460.0,Drama|Musical|Romance,Les Misérables,2012,USA,61000000.0,7.6,144000,Hugh Jackman,Eddie Redmayne,Anne Hathaway,2.4389419672131147
21,Tom Hooper,158.0,148775460.0,Drama|Musical|Romance,Les Misérables,2012,USA,61000000.0,7.6,144000,Hugh Jackman,Eddie Redmayne,Anne Hathaway,2.4389419672131147
22,Kathryn Bigelow,157.0,95720716.0,Drama|History|Thriller,Zero Dark Thirty,2012,USA,40000000.0,7.4,39000,Jennifer Ehle,Harold Perrineau,Parker Sawyers,2.3930179
23,Ridley Scott,156.0,105219735.0,Action|Adventure|Drama|History,Robin Hood,2010,USA,200000000.0,6.7,17000,Mark Addy,William Hurt,Scott Grimes,0.526098675
24,,156.0,183635922.0,Adventure|Drama|Thriller|Western,The Revenant,2015,USA,135000000.0,8.1,190000,Leonardo DiCaprio,Tom Hardy,Lukas Haas,1.360266088888889
25,Michael Bay,154.0,352358779.0,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon,2011,USA,195000000.0,6.3,46000,Glenn Morshower,Lester Speight,Kevin Dunn,1.8069680974358975
